scenario_id,scenario_name,npv_usd,cumulative_probability
mc_base,Monte Carlo Base,-8602156548.565826,0.0288
mc_base,Monte Carlo Base,-8569179238.857547,0.0289
mc_base,Monte Carlo Base,-8565136380.058336,0.029
mc_base,Monte Carlo Base,-8553280871.55011,0.0291
mc_base,Monte Carlo Base,-8551831552.7874,0.0292
mc_base,Monte Carlo Base,-8532695959.342176,0.0293
mc_base,Monte Carlo Base,-8531379659.863604,0.0294
mc_base,Monte Carlo Base,-8504949407.96303,0.0295
mc_base,Monte Carlo Base,-8494183455.442941,0.0296
mc_base,Monte Carlo Base,-8490669001.377715,0.0297
mc_base,Monte Carlo Base,-8471002867.144404,0.0298
mc_base,Monte Carlo Base,-8463080175.3308525,0.0299
mc_base,Monte Carlo Base,-8462120352.128328,0.03
mc_base,Monte Carlo Base,-8455913295.568548,0.0301
mc_base,Monte Carlo Base,-8449921402.044313,0.0302
mc_base,Monte Carlo Base,-8447499701.639105,0.0303
mc_base,Monte Carlo Base,-8446464173.124426,0.0304
mc_base,Monte Carlo Base,-8446266677.686586,0.0305
mc_base,Monte Carlo Base,-8433454106.200553,0.0306
mc_base,Monte Carlo Base,-8421640190.472138,0.0307
mc_base,Monte Carlo Base,-8419659811.568684,0.0308
mc_base,Monte Carlo Base,-8417832623.681097,0.0309
mc_base,Monte Carlo Base,-8415712323.474077,0.031
mc_base,Monte Carlo Base,-8388211272.032977,0.0311
mc_base,Monte Carlo Base,-8386530410.617606,0.0312
mc_base,Monte Carlo Base,-8359558532.12633,0.0313
mc_base,Monte Carlo Base,-8353049027.3548765,0.0314
mc_base,Monte Carlo Base,-8350060030.973373,0.0315
mc_base,Monte Carlo Base,-8339179185.604983,0.0316
mc_base,Monte Carlo Base,-8338439210.859607,0.0317
mc_base,Monte Carlo Base,-8338342818.390958,0.0318
mc_base,Monte Carlo Base,-8333813131.257715,0.0319
mc_base,Monte Carlo Base,-8323601398.412736,0.032
mc_base,Monte Carlo Base,-8319845838.461378,0.0321
mc_base,Monte Carlo Base,-8319351495.884973,0.0322
mc_base,Monte Carlo Base,-8310122911.512836,0.0323
mc_base,Monte Carlo Base,-8307198352.903116,0.0324
mc_base,Monte Carlo Base,-8305218032.289604,0.0325
mc_base,Monte Carlo Base,-8301308104.640753,0.0326
mc_base,Monte Carlo Base,-8300603930.92763,0.0327
mc_base,Monte Carlo Base,-8297659210.925452,0.0328
mc_base,Monte Carlo Base,-8280226508.300089,0.0329
mc_base,Monte Carlo Base,-8277801051.398499,0.033
mc_base,Monte Carlo Base,-8270780487.128089,0.0331
mc_base,Monte Carlo Base,-8270323342.929354,0.0332
mc_base,Monte Carlo Base,-8248152892.181855,0.0333
mc_base,Monte Carlo Base,-8246581283.10502,0.0334
mc_base,Monte Carlo Base,-8241323612.864722,0.0335
mc_base,Monte Carlo Base,-8224087406.655651,0.0336
mc_base,Monte Carlo Base,-8216217586.198347,0.0337
mc_base,Monte Carlo Base,-8213564836.668734,0.0338
mc_base,Monte Carlo Base,-8188295870.6273155,0.0339
mc_base,Monte Carlo Base,-8176477671.975259,0.034
