iteration,average_price_usd_per_lb,terminal_price_usd_per_lb,price_path_std_usd_per_lb,grade_factor,average_recovery,recovery_std,npv_usd,scenario_id,scenario_name,valuation_basis
106,4.23754,6.13246,0.92499,1.12262,0.84881,0.01921,3660818651.58992,mc_base,Monte Carlo Base,total_project_expanded_operation
107,4.41698,3.26406,1.23091,1.00491,0.8462,0.0226,452270752.92141,mc_base,Monte Carlo Base,total_project_expanded_operation
108,4.13801,5.78511,0.99339,1.10158,0.83772,0.02316,515345576.31567,mc_base,Monte Carlo Base,total_project_expanded_operation
109,3.72501,3.17573,0.85773,1.10474,0.84476,0.01746,1569059712.94082,mc_base,Monte Carlo Base,total_project_expanded_operation
110,4.33469,7.02522,0.96621,1.1079,0.85172,0.0263,2523230954.28419,mc_base,Monte Carlo Base,total_project_expanded_operation
111,5.1626,3.93746,0.96195,0.98532,0.85385,0.0191,6305348232.91057,mc_base,Monte Carlo Base,total_project_expanded_operation
112,5.11787,5.08951,1.55779,0.99254,0.8413,0.01811,3236988254.72233,mc_base,Monte Carlo Base,total_project_expanded_operation
113,4.62042,5.39709,1.07253,0.94325,0.84801,0.01213,-43703264.40636,mc_base,Monte Carlo Base,total_project_expanded_operation
114,3.8571,4.94937,0.88398,0.99383,0.84127,0.02551,-2961014781.67208,mc_base,Monte Carlo Base,total_project_expanded_operation
115,5.02684,7.66834,1.37813,0.88754,0.83814,0.02286,-130258504.35227,mc_base,Monte Carlo Base,total_project_expanded_operation
116,4.24806,4.23513,0.83755,1.01376,0.85517,0.02599,149155886.3625,mc_base,Monte Carlo Base,total_project_expanded_operation
117,5.16464,6.74058,1.15712,0.97403,0.83837,0.02884,3076337850.83296,mc_base,Monte Carlo Base,total_project_expanded_operation
118,4.29597,4.31968,0.56854,0.93894,0.83917,0.0269,-230698789.73087,mc_base,Monte Carlo Base,total_project_expanded_operation
119,5.17613,4.1949,1.23236,1.03417,0.84093,0.02447,5642916521.57421,mc_base,Monte Carlo Base,total_project_expanded_operation
120,4.18602,4.70584,0.82279,1.13708,0.83877,0.02322,1903452795.2151,mc_base,Monte Carlo Base,total_project_expanded_operation
121,4.04255,4.82154,0.7328,1.14638,0.83309,0.01893,1535510718.23464,mc_base,Monte Carlo Base,total_project_expanded_operation
122,4.09261,5.88645,0.62793,1.12128,0.84977,0.02028,2557719248.68478,mc_base,Monte Carlo Base,total_project_expanded_operation
123,4.3324,4.87814,0.98085,0.8595,0.84561,0.01859,-2404063600.2969,mc_base,Monte Carlo Base,total_project_expanded_operation
124,4.53169,5.63792,0.7711,0.97363,0.84718,0.02361,1526468348.24436,mc_base,Monte Carlo Base,total_project_expanded_operation
125,4.77008,4.7693,1.10107,1.10715,0.8465,0.02351,4622603021.51168,mc_base,Monte Carlo Base,total_project_expanded_operation
126,4.06577,5.8874,0.68413,1.01962,0.84103,0.02436,-71949320.29476,mc_base,Monte Carlo Base,total_project_expanded_operation
127,4.81951,5.3119,0.70594,0.85372,0.83818,0.02268,184703870.20178,mc_base,Monte Carlo Base,total_project_expanded_operation
128,4.95841,5.22087,1.00777,0.95717,0.83087,0.02373,2257790324.03279,mc_base,Monte Carlo Base,total_project_expanded_operation
129,4.16538,5.13028,0.86791,1.02685,0.83862,0.0262,1388553379.21311,mc_base,Monte Carlo Base,total_project_expanded_operation
130,4.9188,5.40777,0.93292,0.95848,0.84503,0.01816,2158919758.73041,mc_base,Monte Carlo Base,total_project_expanded_operation
131,3.95497,7.21006,1.08514,1.02775,0.84108,0.00996,-1673315642.09974,mc_base,Monte Carlo Base,total_project_expanded_operation
132,4.38346,5.96776,0.99139,0.93252,0.84226,0.03045,-2131489518.13723,mc_base,Monte Carlo Base,total_project_expanded_operation
133,4.6578,5.58746,0.56763,1.14602,0.83946,0.02938,6841989232.16679,mc_base,Monte Carlo Base,total_project_expanded_operation
134,4.535,5.15786,1.08819,0.94355,0.83584,0.01515,-64933497.68566,mc_base,Monte Carlo Base,total_project_expanded_operation
135,4.14989,4.43264,1.09047,0.91581,0.85297,0.01291,-3658826150.43811,mc_base,Monte Carlo Base,total_project_expanded_operation
136,5.00834,8.03683,1.42704,0.9685,0.83856,0.01962,1888936569.978,mc_base,Monte Carlo Base,total_project_expanded_operation
137,5.06571,5.15418,1.66538,1.01976,0.85462,0.02675,3534172500.40557,mc_base,Monte Carlo Base,total_project_expanded_operation
138,4.29797,4.78623,0.87482,1.06974,0.8312,0.01351,2520353008.08724,mc_base,Monte Carlo Base,total_project_expanded_operation
139,4.2323,4.10155,0.8041,1.05548,0.84548,0.02213,2778222614.03828,mc_base,Monte Carlo Base,total_project_expanded_operation
140,5.31528,6.90642,1.20932,0.87727,0.84044,0.02286,2558065688.59312,mc_base,Monte Carlo Base,total_project_expanded_operation
141,4.56948,4.75927,0.89507,1.00579,0.83676,0.02753,2546991655.69209,mc_base,Monte Carlo Base,total_project_expanded_operation
142,4.52433,4.49479,0.87051,1.01945,0.83832,0.02186,1281793151.41886,mc_base,Monte Carlo Base,total_project_expanded_operation
143,4.59205,4.75465,0.9024,1.14552,0.83996,0.02292,4230653873.52561,mc_base,Monte Carlo Base,total_project_expanded_operation
144,4.09226,4.96791,0.80053,1.07994,0.84621,0.01776,179943969.59363,mc_base,Monte Carlo Base,total_project_expanded_operation
145,4.6141,4.06985,0.86905,0.99628,0.83335,0.02675,1458712317.84187,mc_base,Monte Carlo Base,total_project_expanded_operation
146,4.33479,6.34448,0.85546,0.88349,0.84015,0.01476,-2871541840.83147,mc_base,Monte Carlo Base,total_project_expanded_operation
147,4.54902,4.49078,1.38917,1.03109,0.84326,0.02392,912132867.98298,mc_base,Monte Carlo Base,total_project_expanded_operation
148,4.68404,5.65363,0.8755,0.94182,0.84287,0.02126,1399021305.12308,mc_base,Monte Carlo Base,total_project_expanded_operation
149,4.66028,3.21496,1.23761,0.86271,0.8425,0.02817,-209895378.76174,mc_base,Monte Carlo Base,total_project_expanded_operation
150,5.79068,4.90585,0.93926,0.88639,0.84897,0.01839,4974377596.29503,mc_base,Monte Carlo Base,total_project_expanded_operation
151,4.25157,4.75219,1.52482,0.97972,0.84597,0.017,-2508532934.31788,mc_base,Monte Carlo Base,total_project_expanded_operation
152,5.0444,9.12238,1.42369,1.07258,0.84328,0.02919,4187313206.00983,mc_base,Monte Carlo Base,total_project_expanded_operation
153,4.1138,3.33301,0.88721,1.10083,0.84407,0.0215,1219161381.20477,mc_base,Monte Carlo Base,total_project_expanded_operation
154,4.7022,4.69264,0.78557,0.91163,0.83712,0.02626,974160937.99039,mc_base,Monte Carlo Base,total_project_expanded_operation
155,4.38589,5.35683,0.68336,0.98212,0.84139,0.0208,739305034.80891,mc_base,Monte Carlo Base,total_project_expanded_operation
156,4.15665,3.88966,0.78373,1.03681,0.84124,0.01859,2762301142.74457,mc_base,Monte Carlo Base,total_project_expanded_operation
157,4.57241,5.09892,0.67064,0.95458,0.8375,0.0195,1124925485.05018,mc_base,Monte Carlo Base,total_project_expanded_operation
158,4.76529,4.16999,0.62556,1.06837,0.84488,0.02503,5627410356.73787,mc_base,Monte Carlo Base,total_project_expanded_operation
159,5.20866,5.8439,1.73011,0.87264,0.83765,0.02352,-893188059.7758,mc_base,Monte Carlo Base,total_project_expanded_operation
160,4.43038,6.4246,0.95996,1.06829,0.83405,0.01788,1678990185.11288,mc_base,Monte Carlo Base,total_project_expanded_operation
161,3.41841,2.93052,0.5271,1.06626,0.83585,0.03091,-2593231375.98375,mc_base,Monte Carlo Base,total_project_expanded_operation
162,4.32169,4.90057,0.7902,0.86263,0.8559,0.02717,-3045890018.88378,mc_base,Monte Carlo Base,total_project_expanded_operation
163,5.28159,5.75245,1.18333,0.91682,0.84667,0.02519,3883684913.69712,mc_base,Monte Carlo Base,total_project_expanded_operation
164,4.32935,6.20971,1.17429,1.03733,0.84598,0.01385,-110093653.06851,mc_base,Monte Carlo Base,total_project_expanded_operation
165,4.94321,5.83691,0.73696,0.98788,0.84998,0.02245,3530071666.56094,mc_base,Monte Carlo Base,total_project_expanded_operation
166,4.88071,5.40555,1.02281,0.93964,0.83517,0.01865,820906736.82214,mc_base,Monte Carlo Base,total_project_expanded_operation
167,4.99263,5.24842,0.65961,0.92139,0.83844,0.0163,2017969524.57372,mc_base,Monte Carlo Base,total_project_expanded_operation
168,4.16598,3.50134,0.69693,1.01074,0.84015,0.02949,356848701.78532,mc_base,Monte Carlo Base,total_project_expanded_operation
169,4.21822,6.01499,0.69293,0.93708,0.84225,0.02793,-1155126190.76678,mc_base,Monte Carlo Base,total_project_expanded_operation
170,4.77113,5.17079,0.90829,0.965,0.83712,0.0179,1750407568.71755,mc_base,Monte Carlo Base,total_project_expanded_operation
171,4.30867,4.9608,0.55015,0.87249,0.84646,0.02199,-1959365179.82044,mc_base,Monte Carlo Base,total_project_expanded_operation
172,5.02462,6.09454,0.94024,0.99213,0.84485,0.01941,3484965180.66822,mc_base,Monte Carlo Base,total_project_expanded_operation
173,4.23946,4.05225,0.85547,0.93533,0.83858,0.02336,-1646320488.84305,mc_base,Monte Carlo Base,total_project_expanded_operation
174,5.75004,5.17018,1.47434,1.08713,0.84536,0.02569,8776186086.62069,mc_base,Monte Carlo Base,total_project_expanded_operation
175,4.42006,4.45206,0.73722,0.99146,0.84068,0.01939,1174738125.61379,mc_base,Monte Carlo Base,total_project_expanded_operation
